toolmode,project,model,category,accuracy,precision,recall,f1_score,count
NNet&PCir,fan_controller,claude-sonnet-4.6,theory_layout,0.6667,0.5,0.3333,0.4,3
NNet&PCir,fan_controller,claude-sonnet-4.6,ALL,0.7333,0.6667,0.8462,0.6591,15
NNet&PCir,fan_controller,gemini-3-flash-preview,component_datasheet,0.6667,0.6667,0.8,0.625,6
NNet&PCir,fan_controller,gemini-3-flash-preview,spice_behaviour,0.5,0.625,0.7,0.4857,6
NNet&PCir,fan_controller,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,3
NNet&PCir,fan_controller,gemini-3-flash-preview,ALL,0.6667,0.6429,0.8077,0.6032,15
NNet&PCir,fan_controller,gpt-5.4-nano,component_datasheet,0.8333,0.75,0.9,0.7778,6
NNet&PCir,fan_controller,gpt-5.4-nano,spice_behaviour,0.6667,0.6667,0.8,0.625,6
NNet&PCir,fan_controller,gpt-5.4-nano,theory_layout,0.0,0.0,0.0,0.0,3
NNet&PCir,fan_controller,gpt-5.4-nano,ALL,0.6,0.625,0.7692,0.55,15
NNet&PCir,fan_controller,llama-3.3-70b-instruct,component_datasheet,0.8333,0.75,0.9,0.7778,6
NNet&PCir,fan_controller,llama-3.3-70b-instruct,spice_behaviour,0.3333,0.6,0.6,0.3333,6
NNet&PCir,fan_controller,llama-3.3-70b-instruct,theory_layout,0.6667,0.5,0.3333,0.4,3
NNet&PCir,fan_controller,llama-3.3-70b-instruct,ALL,0.6,0.625,0.7692,0.55,15
NNet&PCir,stack-chan,claude-sonnet-4.6,component_datasheet,1.0,1.0,1.0,1.0,5
NNet&PCir,stack-chan,claude-sonnet-4.6,spice_behaviour,0.6667,0.8,0.6667,0.625,6
NNet&PCir,stack-chan,claude-sonnet-4.6,theory_layout,0.5,0.6667,0.6667,0.5,4
NNet&PCir,stack-chan,claude-sonnet-4.6,ALL,0.7333,0.8333,0.7143,0.7,15
NNet&PCir,stack-chan,gemini-3-flash-preview,component_datasheet,1.0,1.0,1.0,1.0,5
NNet&PCir,stack-chan,gemini-3-flash-preview,spice_behaviour,0.8333,0.875,0.8333,0.8286,6
NNet&PCir,stack-chan,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,4
NNet&PCir,stack-chan,gemini-3-flash-preview,ALL,0.9333,0.9444,0.9286,0.9321,15
NNet&PCir,stack-chan,gpt-5.4-nano,component_datasheet,0.6,0.375,0.375,0.375,5
NNet&PCir,stack-chan,gpt-5.4-nano,spice_behaviour,0.8333,0.875,0.8333,0.8286,6
NNet&PCir,stack-chan,gpt-5.4-nano,theory_layout,0.25,0.125,0.5,0.2,4
NNet&PCir,stack-chan,gpt-5.4-nano,ALL,0.6,0.625,0.5804,0.55,15
NNet&PCir,stack-chan,llama-3.3-70b-instruct,component_datasheet,1.0,1.0,1.0,1.0,5
NNet&PCir,stack-chan,llama-3.3-70b-instruct,spice_behaviour,0.8333,0.875,0.8333,0.8286,6
NNet&PCir,stack-chan,llama-3.3-70b-instruct,theory_layout,0.5,0.6667,0.6667,0.5,4
NNet&PCir,stack-chan,llama-3.3-70b-instruct,ALL,0.8,0.8636,0.7857,0.7847,15
PNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,0.75,0.8333,0.75,0.7333,4
PNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,0.1667,0.0833,0.5,0.1429,6
PNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,5
PNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,ALL,0.6,0.6161,0.6477,0.5833,15
PNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,0.75,0.8333,0.75,0.7333,4
PNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,0.1667,0.0833,0.5,0.1429,6
PNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,theory_layout,0.8,0.75,0.875,0.7619,5
PNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,ALL,0.5333,0.5833,0.6023,0.5249,15
PNet&NCir,AcornRobotElectronics,gpt-5.4-nano,component_datasheet,0.75,0.8333,0.75,0.7333,4
